641 [4.37e-01, 2.82e-01]
642 [4.37e-01, 2.82e-01]
643 [4.37e-01, 2.82e-01]
644 [4.36e-01, 2.82e-01]
645 [4.36e-01, 2.82e-01]
646 [4.36e-01, 2.82e-01]
647 [4.36e-01, 2.82e-01]
648 [4.36e-01, 2.82e-01]
649 [4.36e-01, 2.82e-01]
650 [4.36e-01, 2.82e-01]
651 [4.36e-01, 2.82e-01]
652 [4.36e-01, 2.82e-01]
653 [4.36e-01, 2.82e-01]
654 [4.36e-01, 2.82e-01]
655 [4.36e-01, 2.82e-01]
656 [4.36e-01, 2.81e-01]
657 [4.36e-01, 2.81e-01]
658 [4.36e-01, 2.81e-01]
659 [4.36e-01, 2.81e-01]
660 [4.36e-01, 2.81e-01]
661 [4.36e-01, 2.81e-01]
662 [4.36e-01, 2.81e-01]
663 [4.36e-01, 2.81e-01]
664 [4.36e-01, 2.81e-01]
665 [4.36e-01, 2.81e-01]
666 [4.36e-01, 2.81e-01]
667 [4.36e-01, 2.81e-01]
668 [4.36e-01, 2.81e-01]
669 [4.36e-01, 2.81e-01]
670 [4.36e-01, 2.81e-01]
671 [4.36e-01, 2.81e-01]
672 [4.36e-01, 2.81e-01]
673 [4.35e-01, 2.81e-01]
674 [4.35e-01, 2.81e-01]
675 [4.35e-01, 2.81e-01]
676 [4.35e-01, 2.81e-01]
677 [4.35e-01, 2.81e-01]
678 [4.35e-01, 2.81e-01]
679 [4.35e-01, 2.80e-01]
680 [4.35e-01, 2.80e-01]
681 [4.35e-01, 2.80e-01]
682 [4.35e-01, 2.80e-01]
683 [4.35e-01, 2.80e-01]
684 [4.35e-01, 2.80e-01]
685 [4.35e-01, 2.80e-01]
686 [4.35e-01, 2.80e-01]
687 [4.35e-01, 2.80e-01]
688 [4.35e-01, 2.80e-01]
689 [4.35e-01, 2.80e-01]
690 [4.35e-01, 2.80e-01]
691 [4.35e-01, 2.80e-01]
692 [4.35e-01, 2.80e-01]
693 [4.35e-01, 2.80e-01]
694 [4.35e-01, 2.80e-01]
695 [4.35e-01, 2.80e-01]
696 [4.35e-01, 2.80e-01]
697 [4.35e-01, 2.80e-01]
698 [4.35e-01, 2.80e-01]
699 [4.35e-01, 2.80e-01]
700 [4.35e-01, 2.80e-01]
701 [4.35e-01, 2.79e-01]
702 [4.35e-01, 2.79e-01]
703 [4.34e-01, 2.79e-01]
704 [4.34e-01, 2.79e-01]
705 [4.34e-01, 2.79e-01]
706 [4.34e-01, 2.79e-01]
707 [4.34e-01, 2.79e-01]
708 [4.34e-01, 2.79e-01]
709 [4.34e-01, 2.79e-01]
710 [4.34e-01, 2.79e-01]
711 [4.34e-01, 2.79e-01]
712 [4.34e-01, 2.79e-01]
713 [4.34e-01, 2.79e-01]
714 [4.34e-01, 2.79e-01]
715 [4.34e-01, 2.79e-01]
716 [4.34e-01, 2.79e-01]
717 [4.34e-01, 2.79e-01]
718 [4.34e-01, 2.79e-01]
719 [4.34e-01, 2.79e-01]
720 [4.34e-01, 2.79e-01]
721 [4.34e-01, 2.79e-01]
722 [4.34e-01, 2.79e-01]
723 [4.34e-01, 2.79e-01]
724 [4.34e-01, 2.78e-01]
725 [4.34e-01, 2.78e-01]
726 [4.34e-01, 2.78e-01]
727 [4.34e-01, 2.78e-01]
728 [4.34e-01, 2.78e-01]
729 [4.34e-01, 2.78e-01]
730 [4.34e-01, 2.78e-01]
731 [4.34e-01, 2.78e-01]
732 [4.33e-01, 2.78e-01]
733 [4.33e-01, 2.78e-01]
734 [4.33e-01, 2.78e-01]
735 [4.33e-01, 2.78e-01]
