bo_kom_today,sognekode,sogn,Inviterede_i_sognet,Antal_inviteret_ikke_booket,Andel_inviteret_ikke_booket,Andel_booket,Andel_påbegyndt,Andel_færdigvaccineret
Hjørring,9101,"Bistrup,Hjørring",2587,169,7%,21%,28%,45%
Hjørring,9229,"Sørig,Hjørring",182,30,16%,11%,34%,38%
Holbæk,,,25,19,76%,4%,16%,4%
Holbæk,7246,"Orø,Holbæk",806,58,7%,1%,49%,43%
Holbæk,7274,"Skt Nikolai,Holbæk",9158,723,8%,6%,38%,48%
Holbæk,7275,"Tveje Merløse,Holbæk",7865,925,12%,5%,39%,44%
Holbæk,7278,"N Jernløse,Holbæk",1480,140,9%,7%,45%,39%
Holbæk,7279,"Kvanløse,Holbæk",342,39,11%,4%,48%,37%
Holbæk,7280,"S Jernløse,Holbæk",392,43,11%,6%,45%,39%
Holbæk,7281,"Søstrup,Holbæk",393,41,10%,9%,47%,33%
Holbæk,7284,"Tølløse,Holbæk",2750,242,9%,7%,41%,43%
Holbæk,7286,"Soderup,Holbæk",806,70,9%,8%,47%,37%
Holbæk,7287,"Kr Eskilstr,Holbæk",731,88,12%,8%,46%,33%
Holbæk,7288,"St Tåstrup,Holbæk",1097,129,12%,9%,44%,36%
Holbæk,7289,"Ugerløse,Holbæk",880,102,12%,5%,43%,40%
Holbæk,7290,"Undløse,Holbæk",978,110,11%,4%,46%,39%
Holbæk,7291,"Søndersted,Holbæk",234,23,10%,7%,47%,37%
Holbæk,7294,"Hagested,Holbæk",756,62,8%,6%,45%,41%
Holbæk,7295,"Gislinge,Holbæk",1061,95,9%,7%,43%,41%
Holbæk,7296,"Kundby,Holbæk",1088,142,13%,6%,48%,33%
Holbæk,7299,"Jyderup,Holbæk",2978,306,10%,5%,38%,46%
Holbæk,7300,"Holmstrup,Holbæk",327,40,12%,5%,43%,40%
Holbæk,9176,Hjembæk-Svinninge,2336,215,9%,6%,40%,45%
Holbæk,9177,"Butterup-Tuse,Holbæk",2129,136,6%,7%,47%,39%
Holbæk,9179,"Skamstrup-Fr.dal,Hol",1067,120,11%,8%,41%,40%
Holbæk,9189,Stigs Bjergby-Mørkøv,1504,188,13%,7%,44%,37%
Holbæk,9192,"Tuse Næs,Holbæk",1683,134,8%,4%,40%,48%
Holbæk,9292,"Vipperød,Holbæk",3116,250,8%,6%,44%,42%
Holstebro,,,31,20,65%,6%,13%,16%
Holstebro,8739,"Husby,Holstebro",200,23,12%,8%,22%,59%
Holstebro,8740,"S Nissum,Holstebro",616,54,9%,6%,34%,52%
Holstebro,8741,"Staby,Holstebro",425,33,8%,18%,35%,40%
Holstebro,8742,"Ulfborg,Holstebro",1606,165,10%,10%,27%,53%
Holstebro,8745,"N Felding,Holstebro",818,66,8%,14%,36%,41%
Holstebro,8746,"Tvis,Holstebro",931,79,8%,14%,36%,42%
Holstebro,8760,"Madum,Holstebro",153,21,14%,12%,26%,48%
Holstebro,8813,"Holstebro,Holstebro",7425,633,9%,12%,29%,50%
Holstebro,8814,"Måbjerg,Holstebro",1998,144,7%,13%,32%,48%
Holstebro,8815,"Nørrelands,Holstebro",4232,750,18%,14%,25%,43%
Holstebro,8819,"Mejrup,Holstebro",2789,181,6%,15%,35%,43%
Holstebro,8821,"Borbjerg,Holstebro",1143,119,10%,15%,37%,37%
Holstebro,8825,"Navr,Holstebro",468,24,5%,13%,39%,43%
Holstebro,8826,"Sir,Holstebro",133,12,9%,11%,29%,52%
Holstebro,8827,"N Gørding,Holstebro",89,15,17%,12%,37%,34%
Holstebro,8828,"Vemb,Holstebro",972,83,9%,12%,29%,51%
Holstebro,8829,"Bur,Holstebro",208,18,9%,13%,30%,49%
Holstebro,8832,"Sahl,Holstebro",247,25,10%,14%,40%,36%
Holstebro,8833,"Ejsing,Holstebro",539,51,9%,13%,38%,40%
Holstebro,8834,"Ryde,Holstebro",352,46,13%,14%,32%,41%
Holstebro,8835,"Handbjerg,Holstebro",317,28,9%,9%,42%,40%
Holstebro,8836,"Sevel,Holstebro",568,42,7%,12%,28%,53%
Holstebro,9130,"Mejdal,Holstebro",2016,96,5%,15%,30%,50%
Holstebro,9202,"Vinderup,Holstebro",2187,190,9%,11%,31%,50%
Holstebro,9203,"Trandum,Holstebro",270,26,10%,10%,41%,40%
Holstebro,9204,"Herrup,Holstebro",381,43,11%,14%,30%,45%
Holstebro,9206,"Ellebæk,Holstebro",3392,246,7%,13%,36%,43%
Holstebro,9207,"Hogager,Holstebro",168,20,12%,10%,35%,44%
Holstebro,9317,"Idom-Råsted, Holsteb",614,44,7%,14%,33%,46%
Horsens,,,37,23,62%,11%,14%,14%
Horsens,7964,"Hatting,Horsens",1255,95,8%,17%,35%,40%
Horsens,7966,"Torsted,Horsens",5425,392,7%,17%,38%,38%
Horsens,7967,"Tyrsted,Horsens",6878,505,7%,14%,36%,43%
Horsens,7968,"Uth,Horsens",454,44,10%,12%,44%,34%
Horsens,7989,"S Vissing,Horsens",748,93,12%,12%,41%,34%
Horsens,7991,"Grædstrup,Horsens",520,62,12%,17%,43%,29%
Horsens,7994,"Brædstrup,Horsens",2477,221,9%,12%,26%,53%
Horsens,7995,"Føvling,Horsens",279,26,9%,13%,45%,33%
Horsens,7996,"Tønning,Horsens",399,31,8%,14%,44%,34%
Horsens,7997,"Træden,Horsens",222,21,9%,13%,41%,36%
Horsens,8006,"Tyrsting,Horsens",107,10,9%,13%,38%,39%
Horsens,8037,"Østbirk,Horsens",2007,184,9%,15%,37%,39%
Horsens,8038,"Yding,Horsens",265,23,9%,17%,38%,37%
Horsens,8042,"Kattrup,Horsens",217,19,9%,17%,39%,35%
Horsens,8043,"Tolstrup,Horsens",1452,192,13%,14%,35%,37%
Horsens,8044,"Ørridslev,Horsens",1839,151,8%,15%,35%,41%
Horsens,8045,"Vedslet,Horsens",326,43,13%,12%,42%,33%
Horsens,8046,"Lundum,Horsens",150,17,11%,17%,33%,39%
Horsens,8047,"Hansted,Horsens",1924,164,9%,17%,34%,40%
Horsens,8048,"Vær,Horsens",4112,222,5%,13%,34%,47%
Horsens,8049,"Nebel,Horsens",211,24,11%,17%,42%,29%
Horsens,8050,"Gangsted,Horsens",160,28,18%,14%,35%,33%
Horsens,8051,"Søvind,Horsens",1062,89,8%,12%,34%,45%
Horsens,8052,"Klostersogn,Horsens",7185,1250,17%,14%,31%,38%
Horsens,8053,"Vor Frelsers,Horsens",6426,1016,16%,13%,31%,40%
Horsens,8054,"Tamdrup,Horsens",1910,186,10%,14%,37%,39%
Horsens,8055,"Nim,Horsens",528,65,12%,17%,43%,28%
Horsens,8056,"Underup,Horsens",156,19,12%,13%,33%,42%
Horsens,8059,"Endelave,Horsens",154,<10,,,,
Horsens,9077,"Sønderbro,Horsens",4297,627,15%,11%,29%,46%
Hvidovre,,,54,30,56%,6%,22%,17%
Hvidovre,7141,"Hvidovre,Hvidovre",6355,829,13%,11%,37%,39%
Hvidovre,7142,"Strandmarks,Hvidovre",9280,1021,11%,9%,37%,43%
Hvidovre,7143,"Risbjerg,Hvidovre",7668,955,12%,10%,34%,43%
Hvidovre,7146,"Avedøre,Hvidovre",10019,1770,18%,8%,36%,38%
Høje-Taastrup,,,68,48,71%,9%,15%,6%
Høje-Taastrup,7152,"Høje Taastrup,H-Taas",7351,1707,23%,9%,34%,33%
Høje-Taastrup,7153,"Taastrup Nkr,H-Taast",9170,1699,19%,8%,34%,40%
Høje-Taastrup,7162,"Fløng,H-Taastrup",2789,307,11%,9%,39%,41%
Høje-Taastrup,7184,"Sengeløse,H-Taastrup",1765,208,12%,9%,38%,42%
Høje-Taastrup,7196,"Reerslev,H-Taastrup",1314,102,8%,6%,45%,42%
Høje-Taastrup,9083,"Hedehusene,H-Taastru",4994,945,19%,10%,33%,39%
Høje-Taastrup,9094,"Rønnevang,H-Taastrup",5034,601,12%,7%,34%,47%
Hørsholm,,,25,15,60%,8%,20%,12%
Hørsholm,7449,"Blovstrød,Allerød",307,27,9%,8%,41%,42%
Hørsholm,7451,"Hørsholm,Hørsholm",8861,681,8%,10%,33%,49%
Hørsholm,9080,"Rungsted,Hørsholm",4686,340,7%,11%,41%,41%
Hørsholm,9145,"Kokkedal,Hørsholm",4108,354,9%,8%,30%,53%
Ikast-Brande,,,23,17,74%,4%,17%,4%
Ikast-Brande,7974,"Brande,Ikast-Brande",4926,641,13%,14%,31%,42%
Ikast-Brande,7980,"Blåhøj,Ikast-Brande",450,68,15%,15%,31%,38%
Ikast-Brande,7999,"N Snede,Ikast-Brande",1585,182,11%,11%,32%,46%
Ikast-Brande,8000,"Ejstrup,Ikast-Brande",1555,128,8%,14%,32%,46%
Ikast-Brande,8005,"Klovborg,Ikast-Brand",610,73,12%,14%,31%,43%
Ikast-Brande,8612,"Engesvang,Ikast-Bran",1673,146,9%,14%,38%,40%
Ikast-Brande,8801,"Ilskov,Herning",114,12,11%,9%,44%,37%
Ikast-Brande,8802,"Ikast,Ikast-Brande",6519,721,11%,12%,29%,47%
Ikast-Brande,8812,"Bording,Ikast-Brande",1971,159,8%,12%,35%,45%
Ikast-Brande,9123,"Isenvad,Ikast-Brande",652,91,14%,15%,35%,36%
Ikast-Brande,9152,"Fonnesbæk,Ikast-Bran",3246,205,6%,15%,39%,40%
Ikast-Brande,9211,"Faurholt,Ikast-Brand",624,48,8%,17%,40%,35%
Ikast-Brande,9212,"Christiansh,Ikast-B",228,34,15%,16%,36%,33%
Ikast-Brande,9281,"Skærlund,Ikast-Brand",119,13,11%,13%,50%,26%
Ikast-Brande,9282,"Uhre,Ikast-Brande",275,31,11%,20%,33%,35%
Ikast-Brande,9288,"Gludsted,Ikast-Brand",297,36,12%,13%,39%,36%
Ikast-Brande,9289,"Hampen,Ikast-Brande",304,40,13%,13%,46%,28%
Ishøj,,,26,20,77%,4%,19%,0%
Ishøj,7150,"Torslunde,Ishøj",569,53,9%,11%,42%,38%
Ishøj,7151,"Ishøj,Ishøj",13497,3067,23%,7%,32%,38%
Jammerbugt,8379,"Åby,Jammerbugt",3876,228,6%,23%,24%,47%
Jammerbugt,8380,"Biersted,Jammerbugt",2156,153,7%,24%,29%,40%
Jammerbugt,8391,"Lerup,Jammerbugt",108,19,18%,8%,35%,39%
Jammerbugt,8392,"Tranum,Jammerbugt",532,73,14%,15%,28%,43%
Jammerbugt,8393,"Brovst,Jammerbugt",1978,250,13%,16%,23%,48%
Jammerbugt,8394,"Øland,Jammerbugt",386,38,10%,15%,25%,50%
Jammerbugt,8395,"Torslev,Jammerbugt",593,76,13%,17%,29%,41%
Jammerbugt,8396,"Ø Svenstrup,Jammerbu",460,55,12%,17%,31%,40%
Jammerbugt,8397,"Haverslev,Jammerbugt",355,39,11%,18%,37%,34%
Jammerbugt,8398,"Skræm,Jammerbugt",185,19,10%,19%,35%,36%
Jammerbugt,8400,"Bejstrup,Jammerbugt",195,21,11%,14%,37%,38%
Jammerbugt,8401,"Vedsted,Jammerbugt",816,107,13%,17%,27%,43%
Jammerbugt,8420,"Ingstrup,Jammerbugt",472,63,13%,14%,31%,41%
Jammerbugt,8421,"V Hjermitslev,Jammer",311,38,12%,18%,34%,35%
Jammerbugt,8422,"Saltum,Jammerbugt",925,87,9%,17%,30%,44%
Jammerbugt,8423,"Alstrup,Jammerbugt",45,<10,,,,
Jammerbugt,8424,"Jetsmark,Jammerbugt",3927,412,10%,18%,30%,42%
Jammerbugt,8425,"Hune,Jammerbugt",1380,83,6%,7%,26%,61%
Jammerbugt,8426,"Gjøl,Jammerbugt",821,64,8%,16%,31%,45%
Jammerbugt,8710,"Hjortdal,Jammerbugt",326,47,14%,9%,30%,47%
Jammerbugt,8711,"Klim,Jammerbugt",401,46,11%,13%,34%,41%
Jammerbugt,8712,"V Torup,Jammerbugt",391,29,7%,13%,37%,43%
Jammerbugt,8713,"Vust,Jammerbugt",77,<10,,,,
Jammerbugt,8716,"Kettrup,Jammerbugt",324,35,11%,15%,38%,36%
Jammerbugt,8717,"Gøttrup,Jammerbugt",315,31,10%,15%,41%,34%
Jammerbugt,9150,"Langeslund,Jammerbug",887,110,12%,19%,26%,43%
Jammerbugt,9180,"Kollerup-Fj.,Jammerb",2668,243,9%,14%,29%,48%
Jammerbugt,9234,"Koldmose,Jammerbugt",169,24,14%,21%,28%,37%
Kalundborg,,,66,34,52%,5%,32%,12%
Kalundborg,7219,"Ubby,Kalundborg",1230,167,14%,10%,36%,40%
Kalundborg,7220,"Svallerup,Kalundborg",926,89,10%,6%,36%,48%
Kalundborg,7221,"St Fuglede,Kalundbor",283,39,14%,10%,48%,29%
Kalundborg,7222,"Ll Fuglede,Kalundbor",465,50,11%,10%,38%,42%
Kalundborg,7223,"Sæby,Kalundborg",352,49,14%,6%,42%,38%
Kalundborg,7224,"Hallenslev,Kalundbor",142,26,18%,7%,46%,29%
Kalundborg,7225,"Buerup,Kalundborg",336,40,12%,2%,46%,40%
Kalundborg,7226,"Reerslev,Kalundborg",342,51,15%,6%,45%,35%
Kalundborg,7231,"Ørslev,Kalundborg",188,19,10%,4%,41%,44%
Kalundborg,7232,"Solbjerg,Kalundborg",161,14,9%,5%,50%,36%
Kalundborg,7234,"Gierslev,Kalundborg",534,59,11%,7%,41%,41%
Kalundborg,7235,"Finderup,Kalundborg",3213,296,9%,4%,38%,48%
Kalundborg,7236,"Gørlev,Kalundborg",1876,191,10%,5%,37%,48%
Kalundborg,7237,"Bakkendrup,Kalundbor",119,25,21%,7%,50%,23%
Kalundborg,7238,"Kr Helsinge,Kalundbo",858,104,12%,5%,38%,45%
Kalundborg,7239,"Drøsselbjerg,Kalundb",393,32,8%,2%,31%,59%
Kalundborg,7253,"Værslev,Kalundborg",270,31,11%,10%,41%,37%
Kalundborg,7254,"Jorløse,Kalundborg",210,32,15%,6%,38%,40%
Kalundborg,7257,"Sejerø,Kalundborg",308,26,8%,0%,44%,47%
Kalundborg,7268,"Vor Frue,Kalundborg",3900,561,14%,10%,29%,46%
Kalundborg,7269,"Raklev,Kalundborg",4125,277,7%,11%,37%,46%
Kalundborg,7270,"Røsnæs,Kalundborg",586,50,9%,11%,36%,44%
Kalundborg,7271,"Tømmerup,Kalundborg",829,79,10%,13%,43%,34%
Kalundborg,7272,"Årby,Kalundborg",1276,111,9%,10%,43%,38%
Kalundborg,7273,"Rørby,Kalundborg",889,107,12%,12%,40%,35%
Kalundborg,9066,"Nyvangs,Kalundborg",2544,343,13%,12%,33%,41%
Kalundborg,9244,"Reersø,Kalundborg",475,67,14%,4%,28%,54%
Kalundborg,9312,"Viskinge-Avnsø,Kalun",1889,255,13%,9%,36%,42%
Kalundborg,9315,Bregn-Bjergst-Allesh,1276,183,14%,6%,37%,42%
Kalundborg,9323,Føllens-Særslev Sogn,1944,199,10%,7%,40%,43%
Kerteminde,7798,"Munkebo,Kerteminde",3693,350,9%,13%,32%,46%
Kerteminde,7800,"Kølstrup,Kerteminde",497,50,10%,14%,39%,38%
Kerteminde,7869,"Marslev,Kerteminde",664,65,10%,13%,44%,33%
Kerteminde,7870,"Birkende,Kerteminde",1066,87,8%,14%,35%,43%
Kerteminde,7871,"Rynkeby,Kerteminde",674,51,8%,16%,37%,39%
Kerteminde,7872,"Revninge,Kerteminde",401,33,8%,19%,36%,37%
Kerteminde,7873,"Mesinge,Kerteminde",506,38,8%,12%,37%,43%
Kerteminde,7874,"Viby,Kerteminde",191,25,13%,10%,35%,42%
Kerteminde,7875,"Dalby,Kerteminde",310,24,8%,12%,37%,43%
Kerteminde,7876,"Stubberup,Kerteminde",315,42,13%,11%,39%,36%
Kerteminde,7882,"Rønninge,Kerteminde",2264,148,7%,12%,32%,49%
Kerteminde,9293,Kerteminde-Drigstrup,4735,287,6%,10%,29%,55%
Kolding,,,22,<10,,,,
Kolding,7927,"Sct Nicolai,Kolding",5713,580,10%,14%,31%,46%
Kolding,7928,"Kristkirkens,Kolding",6095,761,12%,17%,34%,36%
Kolding,7929,"Brændkjær,Kolding",3344,461,14%,13%,30%,43%
Kolding,7930,"Eltang,Kolding",276,28,10%,20%,34%,35%
Kolding,7931,"S Vilstrup,Kolding",220,24,11%,9%,38%,42%
Kolding,7932,"Nørre Bjert,Kolding",3786,246,6%,17%,34%,43%
Kolding,7933,"Harte,Kolding",2137,208,10%,13%,37%,40%
Kolding,7934,"Bramdrup,Kolding",2783,173,6%,12%,36%,45%
Kolding,7936,"Almind,Kolding",1196,101,8%,21%,34%,37%
Kolding,7937,"Viuf,Kolding",511,53,10%,18%,38%,33%
Kolding,7939,"Vester Nebel,Kolding",1136,85,7%,17%,35%,40%
Kolding,7940,"Vonsild,Kolding",1886,142,8%,15%,33%,44%
Kolding,7941,"Dalby,Kolding",1928,127,7%,16%,37%,40%
Kolding,7942,"S Bjert,Kolding",1673,109,7%,15%,37%,42%
Kolding,7943,"S Stenderup,Kolding",542,64,12%,13%,39%,36%
Kolding,7944,"Hejls,Kolding",619,60,10%,9%,39%,42%
Kolding,7945,"Vejstrup,Kolding",598,63,11%,15%,38%,37%
Kolding,7946,"Ødis,Kolding",781,107,14%,14%,33%,39%
Kolding,7947,"Taps,Kolding",366,45,12%,15%,42%,31%
Kolding,8935,"Lejrskov,Kolding",556,73,13%,17%,40%,29%
Kolding,8936,"Jordrup,Kolding",468,47,10%,15%,39%,36%
Kolding,8939,"Skanderup,Kolding",2268,240,11%,17%,35%,38%
Kolding,8940,"Seest,Kolding",2604,206,8%,15%,32%,44%
Kolding,8941,"Hjarup,Kolding",318,45,14%,14%,39%,33%
Kolding,8981,"Aller,Kolding",282,32,11%,10%,37%,41%
Kolding,8983,"Stepping,Kolding",451,57,13%,17%,38%,33%
Kolding,8984,"Frørup,Kolding",112,22,20%,19%,44%,18%
Kolding,8985,"Tyrstrup,Kolding",2320,225,10%,13%,31%,46%
Kolding,9067,"Vamdrup,Kolding",3287,324,10%,15%,34%,41%
Kolding,9116,"Simon Peters,Kolding",4043,927,23%,11%,29%,37%
København,,,1708,1190,70%,6%,14%,10%
København,7002,"Helligånds,Kbhvn",3345,485,14%,17%,36%,33%
København,7003,"Trinitatis,Kbhvn",2191,313,14%,17%,38%,31%
København,7011,"Bethlehems,Kbhvn",1606,298,19%,12%,30%,39%
København,7024,"Valby,Kbhvn",5020,664,13%,18%,36%,33%
København,7026,"Timotheus,Kbhvn",6355,960,15%,15%,37%,32%
København,7027,"Vigerslev,Kbhvn",4382,969,22%,13%,32%,33%
København,7028,"Aalholm,Kbhvn",4601,582,13%,14%,38%,36%
København,7036,"Holmens,København",1794,335,19%,11%,34%,36%
København,7037,"Garnisons,Kbhvn",2087,275,13%,12%,36%,38%
København,7038,"Frederiks,Kbhvn",2207,249,11%,12%,35%,42%
København,7039,"Skt Pauls,Kbhvn",2712,467,17%,13%,32%,38%
København,7040,"Østervold,Kbhvn",4145,432,10%,14%,40%,35%
København,7041,"Kastels,Kbhvn",4368,538,12%,12%,37%,38%
København,7043,"Rosenvængets,Kbhvn",8955,913,10%,16%,42%,32%
København,7044,"Skt Jakobs,Kbhvn",7787,953,12%,13%,37%,37%
København,7046,"Hans Egedes,Kbhvn",5338,628,12%,15%,42%,30%
København,7050,"Anna,Kbhvn",3398,498,15%,18%,34%,33%
København,7051,"Skt Stefans,Kbhvn",5748,1187,21%,19%,30%,31%
København,7053,"Kingo-Samuel,Kbhvn",10542,2689,26%,18%,28%,29%
København,7054,"Aldersro,Kbhvn",4534,673,15%,16%,29%,39%
København,7055,"Kildevælds,Kbhvn",5900,880,15%,17%,34%,35%
København,7056,"Sions,Kbhvn",6575,847,13%,11%,35%,41%
København,7057,"Hyltebjerg,Kbhvn",5987,801,13%,13%,34%,39%
København,7058,"Vanløse,Kbhvn",6977,889,13%,12%,40%,35%
København,7059,"Adventskirkens,Kbhvn",4514,606,13%,14%,37%,36%
København,7060,"Grøndals,Kbhvn",5208,580,11%,13%,37%,38%
København,7061,"Ansgarkirkens,Kbhvn",4863,1117,23%,15%,29%,33%
København,7062,"Kapernaums,Kbhvn",4490,943,21%,20%,28%,31%
København,7063,"Tagensbo,Kbhvn",3684,848,23%,17%,27%,33%
København,7064,"Bispebjerg,Kbhvn",5988,1478,25%,13%,26%,37%
København,7065,"Emdrup,Kbhvn",2937,487,17%,11%,31%,41%
København,7066,"Lundehus,Kbhvn",4179,901,22%,12%,29%,38%
København,7067,"Husum,Kbhvn",6520,982,15%,11%,38%,35%
København,7068,"Brønshøj,Kbhvn",5266,564,11%,14%,39%,37%
København,7070,"Husumvold,Kbhvn",5154,1273,25%,11%,28%,36%
København,7080,"Islands Brygge,Kbhvn",17586,2677,15%,17%,39%,28%
København,7081,"Christians,Kbhvn",4292,544,13%,14%,35%,38%
København,7082,"Vor Frelsers,Kbhvn",8814,1334,15%,14%,33%,38%
København,7083,"Nathanaels,Kbhvn",4269,796,19%,16%,35%,30%
København,7084,"Sundby,Kbhvn",10409,2192,21%,15%,31%,33%
København,7085,"Allehelgens,Kbhvn",7442,1214,16%,16%,34%,34%
København,7086,"Filips,Kbhvn",6210,985,16%,16%,39%,30%
København,7087,"Sundkirkens,Kbhvn",4689,507,11%,13%,43%,33%
København,7088,"Højdevang,Kbhvn",7715,1147,15%,12%,39%,34%
København,7089,"Simon Peters,Kbhvn",5855,722,12%,11%,41%,36%
København,7090,"Solvang,København",7792,1525,20%,12%,35%,34%
København,9133,"Tingbjerg,København",3359,1419,42%,9%,27%,22%
København,9161,"Blågården, Københ",5958,1247,21%,16%,34%,29%
København,9164,"Fredens-Nazaret,Kbh",2782,323,12%,15%,37%,36%
København,9165,"Sydhavn,København",14368,2788,19%,16%,34%,31%
København,9169,Simeon-Skt.Johan.Kbh,9540,1602,17%,16%,33%,34%
København,9174,"Vor Frue,Kbhvn",4772,635,13%,17%,38%,32%
København,9175,"Davids,Kbhvn",3134,430,14%,17%,35%,34%
København,9182,Bellahøj-Utterslev,8119,1839,23%,12%,30%,35%
København,9185,"Vesterbro Sogn,Kbhvn",24627,3957,16%,17%,39%,28%
København,9190,"Valby Søndre,Kbhvn",13240,2582,20%,18%,32%,30%
Køge,,,82,59,72%,5%,17%,6%
Køge,7206,"Sankt Nicolai,Køge",7045,497,7%,10%,38%,45%
Køge,7207,"Ølsemagle,Køge",2562,289,11%,13%,39%,37%
Køge,7214,"Borup,Køge",2389,246,10%,10%,36%,43%
Køge,7215,"Kimmerslev,Køge",261,31,12%,13%,39%,35%
Køge,7216,"Ejby,Køge",2385,217,9%,12%,40%,38%
Køge,7217,"N Dalby,Køge",1259,106,8%,15%,41%,36%
Køge,7218,"Højelse,Køge",4725,549,12%,13%,37%,39%
Køge,7492,"Lellinge,Køge",644,54,8%,12%,39%,40%
Køge,7536,"Lidemark,Køge",212,15,7%,15%,42%,37%
Køge,7537,"Bjæverskov,Køge",3168,307,10%,12%,39%,40%
Køge,7538,"Vollerslev,Køge",163,13,8%,10%,45%,37%
Køge,7539,"Gørslev,Køge",672,79,12%,13%,41%,35%
Køge,7540,"Herfølge,Køge",7503,849,11%,11%,37%,40%
Køge,7541,"Sædder,Køge",856,70,8%,13%,43%,36%
Køge,9117,"Boholte,Køge",4119,511,12%,9%,34%,45%
Langeland,7694,"Strynø,Langeland",161,13,8%,0%,51%,41%
Langeland,7702,"Bøstrup,Langeland",307,55,18%,11%,29%,42%
Langeland,7703,"Snøde,Langeland",273,35,13%,14%,30%,43%
Langeland,7704,"Stoense,Langeland",122,15,12%,9%,36%,43%
Langeland,7705,"Hou,Langeland",478,60,13%,5%,25%,57%
Langeland,7706,"Longelse,Langeland",366,26,7%,13%,29%,51%
Langeland,7707,"Fuglsbølle,Langeland",120,12,10%,13%,31%,46%
Langeland,7708,"Lindelse,Langeland",541,56,10%,10%,28%,51%
Langeland,7709,"Humble,Langeland",917,101,11%,10%,27%,52%
Langeland,7710,"Tryggelev,Langeland",244,33,14%,14%,29%,43%
Langeland,7711,"Fodslette,Langeland",75,12,16%,11%,44%,29%
Langeland,7712,"Magleby,Langeland",280,34,12%,8%,30%,50%
Langeland,7741,"Rudkøbing,Langeland",2857,288,10%,9%,29%,51%
Langeland,7742,"Simmerbølle,Langelan",484,45,9%,14%,31%,45%
Langeland,7743,"Skrøbelev,Langeland",409,39,10%,15%,30%,46%
